,問題,回答,,,
3076,我女朋友的媽媽在餐桌上對我很生氣。,為什麼會這樣呢？,,,
3077,為什麼會這樣呢？,在我品嚐食物之前，我在食物上撒了鹽和胡椒。,,,
3078,在我品嚐食物之前，我在食物上撒了鹽和胡椒。,這是怎麼回事？,,,
3079,這是怎麼回事？,她媽媽是一位出色的廚師。,,,
3080,她媽媽是一位出色的廚師。,所以，一點鹽和胡椒不會有什麼壞處。,,,
3081,所以，一點鹽和胡椒不會有什麼壞處。,這傷害了她的感情。,,,
3082,這傷害了她的感情。,哦。,,,
3083,哦。,我向她道歉，但我看得出來她仍然很不高興。,,,
3084,我向她道歉，但我看得出來她仍然很不高興。,也許你不應該再去那裡吃飯。,,,
3085,也許你不應該再去那裡吃飯。,我確信一兩天後一切都會好起來的。,,,
3086,我確信一兩天後一切都會好起來的。,這是你女朋友的錯。她應該警告你的。,,,
3087,我每天都吃一樣的東西。,你在開玩笑。,,,
3088,你在開玩笑。,不，我認真的。,,,
3089,不，我認真的。,那不會變老嗎？,,,
3090,那不會變老嗎？,不，因為我正在吃我喜歡的食物。,,,
3091,不，因為我正在吃我喜歡的食物。,但同樣的事情日復一日地變得陳舊。,,,
3092,但同樣的事情日復一日地變得陳舊。,好吧，我想如果它真的變舊了，我會換一些不同的東西。,,,
3093,好吧，我想如果它真的變舊了，我會換一些不同的東西。,你每天吃水果和蔬菜嗎？,,,
3094,你每天吃水果和蔬菜嗎？,不，我討厭蔬菜。,,,
3095,不，我討厭蔬菜。,但你吃水果。,,,
3096,但你吃水果。,我每天吃兩個蘋果、一個香蕉和一個柳橙。,,,
3097,我每天吃兩個蘋果、一個香蕉和一個柳橙。,嗯，這沒有什麼問題。,,,
3098,我的橘子有問題。,怎麼了？,,,
3099,怎麼了？,它不是橙色的！,,,
3100,它不是橙色的！,你的橘子不是橘子嗎？,,,
3101,你的橘子不是橘子嗎？,不，是深粉紅色！,,,
3102,不，是深粉紅色！,你確定嗎？我從來沒有聽過這樣的事情。,,,
3103,你確定嗎？我從來沒有聽過這樣的事情。,我剛剛剝了皮，現在正在看。,,,
3104,我剛剛剝了皮，現在正在看。,讓我看看。你是對的。你的橘色是粉紅色的。,,,
3105,讓我看看。你是對的。你的橘色是粉紅色的。,誰聽過這樣的事？,,,
3106,誰聽過這樣的事？,哦，看。這是上面的小貼紙。它被稱為粉紅色肚臍。,,,
3107,哦，看。這是上面的小貼紙。它被稱為粉紅色肚臍。,這個世界將會變成什麼樣子？,,,
3108,這個世界將會變成什麼樣子？,誰知道？也許很快我們就會有粉紅色的香蕉。,,,
3109,我喜歡花生。,我也是。我喜歡烤和醃的。,,,
3110,我也是。我喜歡烤和醃的。,我喜歡煮花生。,,,
3111,我喜歡煮花生。,煮沸？我從來沒有聽過。,,,
3112,煮沸？我從來沒有聽過。,只需將生花生放入鹽水中煮至貝殼變軟即可。,,,
3113,只需將生花生放入鹽水中煮至貝殼變軟即可。,有時間我得試試。,,,
3114,有時間我得試試。,當他們熱的時候他們是最好的。,,,
3115,當他們熱的時候他們是最好的。,我弟弟對花生過敏。,,,
3116,我弟弟對花生過敏。,這不好。,,,
3117,這不好。,不，不是。他小時候差點就死了。,,,
3118,不，不是。他小時候差點就死了。,我想他必須非常小心他吃的東西。,,,
3119,我想他必須非常小心他吃的東西。,他的飲食非常嚴格。,,,
3120,我的體重正在增加。,你收穫了多少？,,,
3121,你收穫了多少？,這個月就三磅。,,,
3122,這個月就三磅。,你知道為什麼嗎？,,,
3123,你知道為什麼嗎？,我認為是冰淇淋。,,,
3124,我認為是冰淇淋。,你開始吃冰淇淋了嗎？,,,
3125,你開始吃冰淇淋了嗎？,它正在出售。,,,
3126,它正在出售。,你買了多少錢？,,,
3127,你買了多少錢？,我把冰箱裝滿了冰淇淋。,,,
3128,我把冰箱裝滿了冰淇淋。,好吧，它不會永遠持續下去。,,,
3129,好吧，它不會永遠持續下去。,不，我想我會在下週之前完成這一切。,,,
3130,不，我想我會在下週之前完成這一切。,如果沒有其他促銷活動，您就可以開始減肥了。,,,
3131,我吃的好撐。,當然是。你把桌上的東西都吃了。,,,
3132,當然是。你把桌上的東西都吃了。,我不喜歡吃剩菜。,,,
3133,我不喜歡吃剩菜。,我很高興聽到你有不喜歡吃的東西。,,,
3134,我很高興聽到你有不喜歡吃的東西。,我喜歡我的食物又熱又新鮮。,,,
3135,我喜歡我的食物又熱又新鮮。,你喜歡看到它消失。,,,
3136,你喜歡看到它消失。,我不喜歡重新加熱。,,,
3137,我不喜歡重新加熱。,好吧，明天晚上你會吃到熱騰騰的新鮮食物。,,,
3138,好吧，明天晚上你會吃到熱騰騰的新鮮食物。,我太飽了，快撐破了。,,,
3139,我太飽了，快撐破了。,你應該鬆開你的皮帶。,,,
3140,你應該鬆開你的皮帶。,我已經鬆開了皮帶，解開了褲子的釦子。,,,
3141,我已經鬆開了皮帶，解開了褲子的釦子。,好吧，請不要站起來。,,,
3142,我看到你做了什麼。,我什麼也沒做。,,,
3143,我什麼也沒做。,哦，是的，你做到了。,,,
3144,哦，是的，你做到了。,你在說什麼？,,,
3145,你在說什麼？,你懂我在說什麼。,,,
3146,你懂我在說什麼。,我不知道。,,,
3147,我不知道。,你知道你做了什麼。,,,
3148,你知道你做了什麼。,也許我知道，但你怎麼知道？,,,
3149,也許我知道，但你怎麼知道？,因為我在看著你。,,,
3150,因為我在看著你。,好吧，我很抱歉我這麼做了。,,,
3151,好吧，我很抱歉我這麼做了。,不要喝盒裝牛奶。使用玻璃杯！,,,
3152,不要喝盒裝牛奶。使用玻璃杯！,我保證我再也不會喝紙盒裡的飲料了。,,,
3153,我喜歡那件襯衫。,我也是。,,,
3154,我也是。,多少錢？,,,
3155,多少錢？,我不知道。標籤遺失。,,,
3156,我不知道。標籤遺失。,詢問店員。,,,
3157,詢問店員。,我會。,,,
3158,我會。,哦，看。這是另一件類似的襯衫。,,,
3159,哦，看。這是另一件類似的襯衫。,它有價格標籤嗎？,,,
3160,它有價格標籤嗎？,是的，它確實。只需 20 美元。,,,
3161,是的，它確實。只需 20 美元。,這是一個很好的價格。,,,
3162,這是一個很好的價格。,我想我會買它們。,,,
3163,我想我會買它們。,你最好先試戴一下。,,,
3164,我買了一條褲子給你。,謝謝。,,,
3165,謝謝。,我希望它們合適。,,,
3166,我希望它們合適。,我希望你保留收據。,,,
3167,我希望你保留收據。,你認為他們不合適？,,,
3168,你認為他們不合適？,我想我的體重增加了一些。,,,
3169,我想我的體重增加了一些。,您認為？,,,
3170,您認為？,也許一兩磅。,,,
3171,也許一兩磅。,也許四到五磅？,,,
3172,也許四到五磅？,我的腰比以前大了。,,,
3173,我的腰比以前大了。,沒問題。這條褲子有鬆緊腰帶。,,,
3174,沒問題。這條褲子有鬆緊腰帶。,你真聰明！,,,
3175,我們需要買什麼？,讓我看看我們的名單。,,,
3176,讓我看看我們的名單。,我知道我們需要牛奶。,,,
3177,我知道我們需要牛奶。,非脂肪。,,,
3178,非脂肪。,當然。還有什麼？,,,
3179,當然。還有什麼？,我們需要起司、麵包和火腿。,,,
3180,我們需要起司、麵包和火腿。,什麼樣的起司？,,,
3181,什麼樣的起司？,瑞士。,,,
3182,瑞士。,當然是有洞的起司。,,,
3183,當然是有洞的起司。,我從來沒有買過瑞士起司。,,,
3184,我從來沒有買過瑞士起司。,為什麼不？,,,
3185,為什麼不？,我不想為這些洞付錢。,,,
3186,我需要一些褲子。,我以為你剛買了一雙。,,,
3187,我以為你剛買了一雙。,我做到了。,,,
3188,我做到了。,他們怎麼這麼快就出問題了？,,,
3189,他們怎麼這麼快就出問題了？,褲子很好，但口袋裡有個大洞。,,,
3190,褲子很好，但口袋裡有個大洞。,你不應該把鑰匙和筆放在口袋裡。,,,
3191,你不應該把鑰匙和筆放在口袋裡。,但這就是口袋的用途。,,,
3192,但這就是口袋的用途。,你應該把它們放在錢包裡。,,,
3193,你應該把它們放在錢包裡。,我是男人，男人不帶錢包！,,,
3194,我是男人，男人不帶錢包！,好吧，你應該買口袋更堅固的褲子。,,,
3195,好吧，你應該買口袋更堅固的褲子。,如果我能找到一個財力雄厚的人，我會的。,,,
3196,如果我能找到一個財力雄厚的人，我會的。,嘗試在線谷歌搜索。,,,
3197,那些濕紙巾有什麼用？,你用它們來擦拭購物車的把手。,,,
3198,你用它們來擦拭購物車的把手。,好主意啊。,,,
3199,好主意啊。,是的，所有市場都剛開始向購物者提供濕紙巾。,,,
3200,是的，所有市場都剛開始向購物者提供濕紙巾。,我要拿五塊濕紙巾。,,,
3201,我要拿五塊濕紙巾。,你需要五個做什麼？,,,
3202,你需要五個做什麼？,一個用於擦拭手柄，另一個用於擦拭產品。,,,
3203,一個用於擦拭手柄，另一個用於擦拭產品。,產品出了什麼問題？,,,
3204,產品出了什麼問題？,你認為香蕉是從天上掉下來的嗎？,,,
3205,你認為香蕉是從天上掉下來的嗎？,你是什麼意思？,,,
3206,你是什麼意思？,我的意思是，有人用髒手摘了香蕉、蘋果和柳橙。,,,
3207,我的意思是，有人用髒手摘了香蕉、蘋果和柳橙。,好吧，你最好留一塊抹布來擦拭你要用來支付的髒鈔票。,,,
3208,去過99美分商店嗎？,是的，我做到了。,,,
3209,是的，我做到了。,你買了什麼？,,,
3210,你買了什麼？,嗯，像往常一樣，我得到了很多優惠。,,,
3211,嗯，像往常一樣，我得到了很多優惠。,像什麼？,,,
3212,像什麼？,好吧，一打大雞蛋才99美分。,,,
3213,好吧，一打大雞蛋才99美分。,這很划算。,,,
3214,這很划算。,一磅一磅的軟黃油也是同樣的價格。,,,
3215,一磅一磅的軟黃油也是同樣的價格。,又一筆划算的交易。,,,
3216,又一筆划算的交易。,但最好的交易是 5 磅土豆 99 美分。,,,
3217,但最好的交易是 5 磅土豆 99 美分。,我不知道這家店是怎麼賺錢的。,,,
3218,我不知道這家店是怎麼賺錢的。,我也不知道，但他們正在做正確的事。,,,
3219,我需要一台新電腦。,你的怎麼了？,,,
3220,你的怎麼了？,它已經六歲了。,,,
3221,它已經六歲了。,那已經很舊了。,,,
3222,那已經很舊了。,它仍然有效，但我要把它捐給慈善機構。,,,
3223,它仍然有效，但我要把它捐給慈善機構。,您要購買桌上型電腦還是筆記型電腦？,,,
3224,您要購買桌上型電腦還是筆記型電腦？,哦，當然是筆記型電腦。,,,
3225,哦，當然是筆記型電腦。,電腦還是蘋果電腦？,,,
3226,電腦還是蘋果電腦？,我還沒決定。,,,
3227,我還沒決定。,越來越多的人使用 Mac。,,,
3228,越來越多的人使用 Mac。,但全世界 90% 的人都使用個人電腦。,,,
3229,但全世界 90% 的人都使用個人電腦。,這不會很快改變。,,,
3230,我被騙了。,發生了什麼事？,,,
3231,發生了什麼事？,我的車出了問題，所以我上網了。,,,
3232,我的車出了問題，所以我上網了。,你找到解決方法了嗎？,,,
3233,你找到解決方法了嗎？,是的，我做到了。我訪問的一個網站說他們會向我發送解決方案。,,,
3234,是的，我做到了。我訪問的一個網站說他們會向我發送解決方案。,所以有什麼問題？,,,
3235,所以有什麼問題？,我用信用卡給他們寄了 20 美元，但他們從未給我發送解決方案。,,,
3236,我用信用卡給他們寄了 20 美元，但他們從未給我發送解決方案。,你會怎樣做？,,,
3237,你會怎樣做？,我給他們發了一封電子郵件要求退款。,,,
3238,我給他們發了一封電子郵件要求退款。,你收到他們的訊息了嗎？,,,
3239,你收到他們的訊息了嗎？,還沒有。已經一周了。,,,
3240,還沒有。已經一周了。,好吧，我想這對你來說是 20 美元的教訓。,,,
3241,捲筆刀在哪裡？,哪一個？,,,
3242,哪一個？,任何人。我需要削這支鉛筆。,,,
3243,任何人。我需要削這支鉛筆。,我想餐桌上有一個。,,,
3244,我想餐桌上有一個。,我已經看過了。,,,
3245,我已經看過了。,你看過書桌抽屜嗎？,,,
3246,你看過書桌抽屜嗎？,是的，我也看過那裡。,,,
3247,是的，我也看過那裡。,我們不是有大約五個磨刀器嗎？,,,
3248,我們不是有大約五個磨刀器嗎？,是的，但它們似乎有腿。,,,
3249,是的，但它們似乎有腿。,明天我要去買一個電動磨刀器。,,,
3250,明天我要去買一個電動磨刀器。,買一個底部有橡膠吸盤的。,,,
3251,買一個底部有橡膠吸盤的。,是的。這樣它就會留在我放置的地方。,,,
3252,我正在努力節省我的錢。,你怎麼樣？,,,
3253,你怎麼樣？,我開始在一元商店購物。,,,
3254,我開始在一元商店購物。,這樣可以省很多錢。,,,
3255,這樣可以省很多錢。,我用一美元買了三磅馬鈴薯。,,,
3256,我用一美元買了三磅馬鈴薯。,這很划算。,,,
3257,這很划算。,是的，儘管有些土豆有眼睛。,,,
3258,是的，儘管有些土豆有眼睛。,只需將它們放入冰箱即可。,,,
3259,只需將它們放入冰箱即可。,另外，我買了一罐便宜的咖啡和一袋好咖啡。,,,
3260,另外，我買了一罐便宜的咖啡和一袋好咖啡。,為什麼這麼做？,,,
3261,為什麼這麼做？,我把它們混合在一起。,,,
3262,我把它們混合在一起。,如果咖啡味道仍然不錯，那是個好主意。,,,
3263,我真的很喜歡這個房子。,我們負擔得起嗎？,,,
3264,我們負擔得起嗎？,他們想要 20% 的首付。,,,
3265,他們想要 20% 的首付。,那是很多錢。,,,
3266,那是很多錢。,但房子真好。,,,
3267,但房子真好。,它位於一個很棒的社區。,,,
3268,它位於一個很棒的社區。,它靠近海灘。,,,
3269,它靠近海灘。,它靠近高速公路。,,,
3270,它靠近高速公路。,它有一個大院子。,,,
3271,它有一個大院子。,孩子們也喜歡這個房子。,,,
3272,孩子們也喜歡這個房子。,如果我們不買，別人就會買。,,,
3273,如果我們不買，別人就會買。,你說得對。我們現在就買吧。我們可以稍後再擔心。,,,
3274,我們買不起這房子。,你確定嗎？,,,
3275,你確定嗎？,我們將擁有富裕的房子，但缺乏現金。,,,
3276,我們將擁有富裕的房子，但缺乏現金。,你是什麼意思？,,,
3277,你是什麼意思？,我們每個月的付款將會太高。,,,
3278,我們每個月的付款將會太高。,我們就沒有錢做其他事了嗎？,,,
3279,我們就沒有錢做其他事了嗎？,不，我們沒有錢買汽油或食物。,,,
3280,不，我們沒有錢買汽油或食物。,我們要吃花生醬三明治嗎？,,,
3281,我們要吃花生醬三明治嗎？,沒有花生醬！,,,
3282,沒有花生醬！,那不行！,,,
3283,那不行！,我們必須找到更便宜的房子。,,,
3284,我們必須找到更便宜的房子。,當然。沒有汽油或花生醬我們就無法生活。,,,
3285,那是一棟漂亮的房子。,我不喜歡它。,,,
3286,我不喜歡它。,這是怎麼回事？,,,
3287,這是怎麼回事？,在角落。,,,
3288,在角落。,所以？,,,
3289,所以？,這意味著它的流量是原來的兩倍。,,,
3290,這意味著它的流量是原來的兩倍。,你說得對。,,,
3291,你說得對。,當你在裡面的時候，你總會聽到汽車在十字路口停下來的聲音。,,,
3292,當你在裡面的時候，你總會聽到汽車在十字路口停下來的聲音。,否則，如果有人不停車，您就會聽到碰撞聲。,,,
3293,否則，如果有人不停車，您就會聽到碰撞聲。,或者如果他們撞進房子你就會看到碰撞。,,,
3294,或者如果他們撞進房子你就會看到碰撞。,讓我們找一棟位於死胡同盡頭的房子。,,,
3295,讓我們找一棟位於死胡同盡頭的房子。,那很完美。流量越少越好。,,,
3296,我討厭找公寓。,我也是。,,,
3297,我也是。,我們約好兩點去看主街上的那個。,,,
3298,我們約好兩點去看主街上的那個。,我們最好準備出發了。,,,
3299,我們最好準備出發了。,這是樓上的單位。,,,
3300,這是樓上的單位。,這很好，因為我不想活在腳步聲很大的人下面。,,,
3301,這很好，因為我不想活在腳步聲很大的人下面。,這是一個角落單位。,,,
3302,這是一個角落單位。,那太棒了。我們兩邊不會有鄰居。,,,
3303,那太棒了。我們兩邊不會有鄰居。,不允許攜帶寵物。,,,
3304,不允許攜帶寵物。,完美的。我們不必聽狗叫。,,,
3305,完美的。我們不必聽狗叫。,整棟大樓只有六個單位。,,,
3306,整棟大樓只有六個單位。,支票簿在哪裡？我什至沒有看到它就準備租用它。,,,
3307,你打電話給經理了嗎？,是的。他說他明天過來。,,,
3308,是的。他說他明天過來。,他說什麼時間了？,,,
3309,他說什麼時間了？,是的。他說他九點鐘到。,,,
3310,是的。他說他九點鐘到。,他明白問題出在哪裡嗎？,,,
3311,他明白問題出在哪裡嗎？,是的。我告訴他我們的門鈴壞了。,,,
3312,是的。我告訴他我們的門鈴壞了。,他應該不會花很長時間來修復它。,,,
3313,他應該不會花很長時間來修復它。,我什至不知道為什麼我們需要修復它。,,,
3314,我什至不知道為什麼我們需要修復它。,如果我們有訪客。,,,
3315,如果我們有訪客。,但他們可以直接敲門。,,,
3316,但他們可以直接敲門。,事實上，我也想讓他看看我們的地毯。,,,
3317,事實上，我也想讓他看看我們的地毯。,是的，如果他能給我們一張新地毯就好了。,,,
3318,你喜歡這個房子嗎？,是的，它很漂亮。,,,
3319,是的，它很漂亮。,這對我們和孩子來說都是完美的。,,,
3320,這對我們和孩子來說都是完美的。,三間臥室、三間浴室和一個大後院。,,,
3321,三間臥室、三間浴室和一個大後院。,我們負擔得起！,,,
3322,我們負擔得起！,那我們要買它嗎？,,,
3323,那我們要買它嗎？,恐怕不是。,,,
3324,恐怕不是。,這離你的工作太遠了，不是嗎？,,,
3325,這離你的工作太遠了，不是嗎？,我不能每天花四個小時在路上。,,,
3326,我不能每天花四個小時在路上。,當你回到家時，你會累得連吃飯的力氣都沒有。,,,
3327,當你回到家時，你會累得連吃飯的力氣都沒有。,我將無法和孩子們一起玩。,,,
3328,我將無法和孩子們一起玩。,不，我們必須找到離你工作更近的地方。,,,
3329,孩子，外面很冷，不是嗎？,確實是。,,,
3330,確實是。,事實上，公寓裡也很冷。,,,
3331,事實上，公寓裡也很冷。,讓我們打開暖氣。,,,
3332,讓我們打開暖氣。,我會檢查以確保所有窗戶都已關閉。,,,
3333,我會檢查以確保所有窗戶都已關閉。,幾分鐘後就會變暖。,,,
3334,幾分鐘後就會變暖。,擁有一間有暖氣的公寓真是太好了。,,,
3335,擁有一間有暖氣的公寓真是太好了。,過去他們是如何生存的？,,,
3336,過去他們是如何生存的？,他們有壁爐。,,,
3337,他們有壁爐。,必須有人去砍柴。,,,
3338,必須有人去砍柴。,並把它帶進屋裡。,,,
3339,並把它帶進屋裡。,我們要做的就是按下開關。,,,
3340,這是一個不錯的社區。,街道乾淨又安靜。,,,
3341,街道乾淨又安靜。,鄰居們週末不聚會。,,,
3342,鄰居們週末不聚會。,人們照顧他們的草坪。,,,
3343,人們照顧他們的草坪。,前院裡沒有停著生鏽的舊車。,,,
3344,前院裡沒有停著生鏽的舊車。,我們永遠不必為任何事情報警。,,,
3345,我們永遠不必為任何事情報警。,我們的孩子完全安全。,,,
3346,我們的孩子完全安全。,那我們為什麼要賣房子呢？,,,
3347,那我們為什麼要賣房子呢？,他們正在街角建造一棟三層公寓。,,,
3348,他們正在街角建造一棟三層公寓。,所以我們必須在房產價值下跌前賣掉？,,,
3349,所以我們必須在房產價值下跌前賣掉？,是的。我仍然不敢相信我們的市議會允許建造這座建築。,,,
3350,是的。我仍然不敢相信我們的市議會允許建造這座建築。,他們可能在桌子底下得到了一些東西。,,,
3351,那是聖塔芭芭拉一場大火。,是的。,,,
3352,是的。,他們說大約有30棟房屋被燒毀。,,,
3353,他們說大約有30棟房屋被燒毀。,而且它們都是昂貴的房子。,,,
3354,而且它們都是昂貴的房子。,我為那些人感到非常遺憾。,,,
3355,我為那些人感到非常遺憾。,為什麼要同情有錢人？,,,
3356,為什麼要同情有錢人？,我為那些失去家園的人感到難過。,,,
3357,我為那些失去家園的人感到難過。,我也是，但如果他們有錢就不會。,,,
3358,我也是，但如果他們有錢就不會。,這有什麼關係呢？,,,
3359,這有什麼關係呢？,有錢人認為他們比我們更好。,,,
3360,有錢人認為他們比我們更好。,你認識多少有錢人？,,,
3361,你認識多少有錢人？,沒有任何。,,,
3362,熊正在入侵我們的社區。,當然是。他們快要餓死了。,,,
3363,當然是。他們快要餓死了。,他們應該留在屬於他們的樹林裡。,,,
3364,他們應該留在屬於他們的樹林裡。,樹林裡沒有食物。,,,
3365,樹林裡沒有食物。,他們不能吃草嗎？,,,
3366,他們不能吃草嗎？,你認為熊是牛嗎？,,,
3367,你認為熊是牛嗎？,嗯，我見過他們吃漿果。,,,
3368,嗯，我見過他們吃漿果。,莓果不是一年四季都應季的。,,,
3369,莓果不是一年四季都應季的。,這對兒童和寵物來說太危險了。,,,
3370,這對兒童和寵物來說太危險了。,人們需要蓋上垃圾桶。,,,
3371,人們需要蓋上垃圾桶。,警察需要射殺所有的熊。,,,
3372,警察需要射殺所有的熊。,你不能透過開槍來解決問題。,,,
3373,你投給了誰？,我投票給歐巴馬。,,,
3374,我投票給歐巴馬。,我也是。,,,
3375,我也是。,他將成為一位偉大的總統。,,,
3376,他將成為一位偉大的總統。,每個人都喜歡他。,,,
3377,每個人都喜歡他。,他是一個很好的演講者。,,,
3378,他是一個很好的演講者。,他真的很聰明。,,,
3379,他真的很聰明。,他會解決我們的問題。,,,
3380,他會解決我們的問題。,他將結束戰爭。,,,
3381,他將結束戰爭。,未來四年將是美好的四年。,,,
3382,未來四年將是美好的四年。,下次我也會投給他。,,,
3383,下次我也會投給他。,我想每個人都會的。,,,
3384,選舉將於下週舉行。,你投給誰？,,,
3385,你投給誰？,我不會投票給市長。,,,
3386,我不會投票給市長。,為什麼不？,,,
3387,為什麼不？,他做出了他沒有兌現的承諾。,,,
3388,他做出了他沒有兌現的承諾。,像什麼？,,,
3389,像什麼？,他承諾再僱用1000名警察。,,,
3390,他承諾再僱用1000名警察。,他僱用了多少人？,,,
3391,他僱用了多少人？,一百！,,,
3392,一百！,也許他有充分的理由。,,,
3393,也許他有充分的理由。,也許他只是個騙子。,,,
3394,也許他只是個騙子。,也許我也會投給別人。,,,
3395,我不敢相信他贏得了選舉。,只有15%的選民參加了投票。,,,
3396,只有15%的選民參加了投票。,那是個笑話。,,,
3397,那是個笑話。,投票是如此重要，但人們卻不在乎。,,,
3398,投票是如此重要，但人們卻不在乎。,許多人認為他們的投票並不重要。,,,
3399,許多人認為他們的投票並不重要。,"市長僅以2,000票之差獲勝。",,,
3400,"市長僅以2,000票之差獲勝。",我們又和他在一起四年了。,,,
3401,我們又和他在一起四年了。,投票就是這麼簡單。您甚至可以郵寄選票。,,,
3402,投票就是這麼簡單。您甚至可以郵寄選票。,您所要做的就是投票並蓋章。,,,
3403,您所要做的就是投票並蓋章。,那有多容易？,,,
3404,那有多容易？,我想人們只是不在乎。,,,
3405,我想人們只是不在乎。,當他們看到稅收增加時他們會關心的。,,,
3406,好吧，我們有一位新總統。,但我們也有同樣的老問題。,,,
3407,但我們也有同樣的老問題。,好吧，他做了一些改變。,,,
3408,好吧，他做了一些改變。,像什麼？,,,
3409,像什麼？,我認為他關閉了白宮的保齡球館。,,,
3410,我認為他關閉了白宮的保齡球館。,哦耶。他正在把它改成籃球場。,,,
3411,哦耶。他正在把它改成籃球場。,誰為此付費？,,,
3412,誰為此付費？,我想我們是！,,,
3413,我想我們是！,好吧，沒關係，只要這可以幫助他放鬆並更清晰地思考。,,,
3414,好吧，沒關係，只要這可以幫助他放鬆並更清晰地思考。,是的，我們需要一位思維清晰、輕鬆的總統。,,,
3415,是的，我們需要一位思維清晰、輕鬆的總統。,其他世界領導人有籃球場嗎？,,,
3416,其他世界領導人有籃球場嗎？,他們會的。你知道美國總是走在前面。,,,
3417,人們說每個人都愛歐巴馬。,嗯，超過 5000 萬人投票給了麥凱恩。,,,
3418,嗯，超過 5000 萬人投票給了麥凱恩。,那是五千萬人不愛歐巴馬。,,,
3419,那是五千萬人不愛歐巴馬。,歐巴馬還有四年時間讓所有人都高興。,,,
3420,歐巴馬還有四年時間讓所有人都高興。,他永遠不會讓每個人都開心。,,,
3421,他永遠不會讓每個人都開心。,你能想像當總統嗎？,,,
3422,你能想像當總統嗎？,每個人都希望你解決他們的問題。,,,
3423,每個人都希望你解決他們的問題。,我因試圖解決自己的問題而承受了足夠的壓力。,,,
3424,我因試圖解決自己的問題而承受了足夠的壓力。,你和其他人。,,,
3425,你和其他人。,我永遠不想當總統。,,,
3426,我永遠不想當總統。,但想想你擁有的所有權力。,,,
3427,但想想你擁有的所有權力。,比起世界上的一切權力，我更喜歡安靜的小生活。,,,
3428,你讀過這篇文章嗎？,什麼文章？,,,
3429,什麼文章？,據稱，市長僅將 11% 的時間花在履行城市職責上。,,,
3430,據稱，市長僅將 11% 的時間花在履行城市職責上。,只有11%？,,,
3431,只有11%？,他大約 50% 的時間都在旅行。,,,
3432,他大約 50% 的時間都在旅行。,他去哪裡旅行？,,,
3433,他去哪裡旅行？,哦，全世界。,,,
3434,哦，全世界。,但他應該讓我們的城市變得更美好。,,,
3435,但他應該讓我們的城市變得更美好。,他正在訪問其他城市以獲取想法。,,,
3436,他正在訪問其他城市以獲取想法。,他就不能上網嗎？,,,
3437,他就不能上網嗎？,其餘時間他都在為連任募款。,,,
3438,其餘時間他都在為連任募款。,好吧，一旦這個消息傳出，他就永遠不會連任了。,,,
3439,你投誰當總統了？,我投給拉爾夫·納德。,,,
3440,我投給拉爾夫·納德。,拉爾夫‧納德到底是誰？,,,
3441,拉爾夫‧納德到底是誰？,他是總統的最佳人選。,,,
3442,他是總統的最佳人選。,為什麼？,,,
3443,為什麼？,他討厭公司。,,,
3444,他討厭公司。,好吧，大多數公司確實只考慮金錢。,,,
3445,好吧，大多數公司確實只考慮金錢。,他討厭民主黨和共和黨。,,,
3446,他討厭民主黨和共和黨。,好吧，他們確實把自己的政黨放在國家之上。,,,
3447,好吧，他們確實把自己的政黨放在國家之上。,他是我唯一信任的候選人。,,,
3448,他是我唯一信任的候選人。,但他沒有機會。沒有人投給他！,,,
3449,但他沒有機會。沒有人投給他！,選民遲早會醒來。,,,
3450,我不知道為什麼我要費力去投票。,為什麼？,,,
3451,為什麼？,它有什麼好處呢？,,,
3452,它有什麼好處呢？,你可以讓你喜歡的人掌權。,,,
3453,你可以讓你喜歡的人掌權。,除非我的候選人獲勝。,,,
3454,除非我的候選人獲勝。,好吧，除非你和其他人投票給他，否則他就贏不了。,,,
3455,好吧，除非你和其他人投票給他，否則他就贏不了。,但即使我的候選人獲勝，他也會食言。,,,
3456,但即使我的候選人獲勝，他也會食言。,這是真的。他們承諾任何事情只是為了當選。,,,
3457,這是真的。他們承諾任何事情只是為了當選。,一旦當選，他們就會走自己的路。,,,
3458,一旦當選，他們就會走自己的路。,他們忘記了是誰讓他們掌權的。,,,
3459,他們忘記了是誰讓他們掌權的。,他們忘記了自己從哪裡來。,,,
3460,他們忘記了自己從哪裡來。,也許你應該競選公職。,,,
3461,那次選舉對我們參議員來說很糟糕。,你是什麼意思？,,,
3462,你是什麼意思？,選票比選民還多！,,,
3463,選票比選民還多！,但這是不可能的。,,,
3464,但這是不可能的。,官員表示這是可能的。,,,
3465,官員表示這是可能的。,他們有解釋怎麼可能嗎？,,,
3466,他們有解釋怎麼可能嗎？,不。他們說有些事情你無法解釋。,,,
3467,不。他們說有些事情你無法解釋。,那麼他們會再次舉行選舉嗎？,,,
3468,那麼他們會再次舉行選舉嗎？,不。那會花太多錢。,,,
3469,不。那會花太多錢。,所以省錢比進行誠實的選舉更好？,,,
3470,所以省錢比進行誠實的選舉更好？,嗯，民主黨說這是一場誠實的選舉。,,,
3471,嗯，民主黨說這是一場誠實的選舉。,他們當然這麼說？？繼承人贏了！,,,
3472,我看到前總統布希正在參加一個會議。,是的。他正在講他擔任總統八年的笑話。,,,
3473,是的。他正在講他擔任總統八年的笑話。,是的，這八年對每個人來說都很有趣。,,,
3474,是的，這八年對每個人來說都很有趣。,僅4000名美國士兵在海外陣亡。,,,
3475,僅4000名美國士兵在海外陣亡。,更不用說四萬名受傷士兵了。,,,
